StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-01-03T11:45+00:00Z,2022-01-03T12:00+00:00Z,10YNL----------L,MAW,B05,2288
2022-01-03T12:00+00:00Z,2022-01-03T12:15+00:00Z,10YNL----------L,MAW,B05,2344
2022-01-03T12:15+00:00Z,2022-01-03T12:30+00:00Z,10YNL----------L,MAW,B05,2338
2022-01-03T12:30+00:00Z,2022-01-03T12:45+00:00Z,10YNL----------L,MAW,B05,2356
2022-01-03T12:45+00:00Z,2022-01-03T13:00+00:00Z,10YNL----------L,MAW,B05,2312
2022-01-03T13:00+00:00Z,2022-01-03T13:15+00:00Z,10YNL----------L,MAW,B05,2268
2022-01-03T13:15+00:00Z,2022-01-03T13:30+00:00Z,10YNL----------L,MAW,B05,2257
2022-01-03T13:30+00:00Z,2022-01-03T13:45+00:00Z,10YNL----------L,MAW,B05,2270
2022-01-03T13:45+00:00Z,2022-01-03T14:00+00:00Z,10YNL----------L,MAW,B05,2283
2022-01-03T14:00+00:00Z,2022-01-03T14:15+00:00Z,10YNL----------L,MAW,B05,2296
2022-01-03T14:15+00:00Z,2022-01-03T14:30+00:00Z,10YNL----------L,MAW,B05,2326
2022-01-03T14:30+00:00Z,2022-01-03T14:45+00:00Z,10YNL----------L,MAW,B05,2380
2022-01-03T14:45+00:00Z,2022-01-03T15:00+00:00Z,10YNL----------L,MAW,B05,2336
2022-01-03T15:00+00:00Z,2022-01-03T15:15+00:00Z,10YNL----------L,MAW,B05,2363
2022-01-03T15:15+00:00Z,2022-01-03T15:30+00:00Z,10YNL----------L,MAW,B05,2423
2022-01-03T15:30+00:00Z,2022-01-03T15:45+00:00Z,10YNL----------L,MAW,B05,2554
2022-01-03T15:45+00:00Z,2022-01-03T16:00+00:00Z,10YNL----------L,MAW,B05,2712
2022-01-03T16:00+00:00Z,2022-01-03T16:15+00:00Z,10YNL----------L,MAW,B05,2860
2022-01-03T16:15+00:00Z,2022-01-03T16:30+00:00Z,10YNL----------L,MAW,B05,3009
2022-01-03T16:30+00:00Z,2022-01-03T16:45+00:00Z,10YNL----------L,MAW,B05,3098
2022-01-03T16:45+00:00Z,2022-01-03T17:00+00:00Z,10YNL----------L,MAW,B05,3110
2022-01-03T17:00+00:00Z,2022-01-03T17:15+00:00Z,10YNL----------L,MAW,B05,3133
2022-01-03T17:15+00:00Z,2022-01-03T17:30+00:00Z,10YNL----------L,MAW,B05,3150
2022-01-03T17:30+00:00Z,2022-01-03T17:45+00:00Z,10YNL----------L,MAW,B05,3151
2022-01-03T17:45+00:00Z,2022-01-03T18:00+00:00Z,10YNL----------L,MAW,B05,3153
